#Distance         all[Pr]     all[std]
      7.3750    1503.9615       4.5137
      7.3850    1503.2950       4.5171
      7.3950    1502.2745       4.5060
      7.4050    1500.9855       4.5095
      7.4150    1498.7945       4.5039
      7.4250    1500.0915       4.4954
      7.4350    1498.4790       4.5030
      7.4450    1498.6780       4.5074
      7.4550    1497.4640       4.4917
      7.4650    1496.5985       4.5069
      7.4750    1497.4330       4.4954
      7.4850    1494.8810       4.4858
      7.4950    1496.7635       4.5043
      7.5050    1496.8020       4.4978
      7.5150    1494.9955       4.4949
      7.5250    1495.7075       4.4914
      7.5350    1494.9205       4.4920
      7.5450    1493.8195       4.4915
      7.5550    1494.6405       4.4814
      7.5650    1495.9040       4.4855
      7.5750    1492.5355       4.4653
      7.5850    1493.2330       4.4692
      7.5950    1492.8330       4.4809
      7.6050    1491.5120       4.4687
      7.6150    1493.0765       4.4774
      7.6250    1492.9405       4.4712
      7.6350    1495.4525       4.4665
      7.6450    1493.8935       4.4708
      7.6550    1494.1870       4.4618
      7.6650    1494.2360       4.4680
      7.6750    1496.4190       4.4685
      7.6850    1492.7485       4.4533
      7.6950    1494.0210       4.4703
      7.7050    1496.9685       4.4685
      7.7150    1497.5500       4.4592
      7.7250    1496.6125       4.4494
      7.7350    1494.4980       4.4537
      7.7450    1497.4315       4.4651
      7.7550    1498.3100       4.4536
      7.7650    1497.5945       4.4540
      7.7750    1496.7020       4.4547
      7.7850    1498.5325       4.4419
      7.7950    1498.0205       4.4499
      7.8050    1500.0985       4.4467
      7.8150    1499.8780       4.4393
      7.8250    1501.7020       4.4382
      7.8350    1501.5875       4.4557
      7.8450    1501.8560       4.4481
      7.8550    1505.8920       4.4614
      7.8650    1502.8365       4.4474
      7.8750    1501.8775       4.4471
      7.8850    1505.5425       4.4535
      7.8950    1504.2505       4.4444
      7.9050    1506.1715       4.4430
      7.9150    1506.3125       4.4518
      7.9250    1506.9740       4.4532
      7.9350    1509.0030       4.4432
      7.9450    1508.7465       4.4428
      7.9550    1508.8885       4.4337
      7.9650    1511.9965       4.4475
      7.9750    1511.5050       4.4510
      7.9850    1512.5355       4.4380
      7.9950    1513.2150       4.4373
      8.0050    1513.5045       4.4428
      8.0150    1513.7910       4.4514
      8.0250    1513.6240       4.4394
      8.0350    1514.1335       4.4495
      8.0450    1514.9690       4.4496
      8.0550    1518.8490       4.4459
      8.0650    1516.5545       4.4365
      8.0750    1515.4570       4.4409
      8.0850    1517.7920       4.4560
      8.0950    1517.6095       4.4413
      8.1050    1515.0310       4.4452
      8.1150    1517.5685       4.4329
      8.1250    1517.2415       4.4510
      8.1350    1517.6895       4.4501
      8.1450    1516.4110       4.4363
      8.1550    1515.2780       4.4503
      8.1650    1515.7730       4.4406
      8.1750    1514.9010       4.4307
      8.1850    1515.7805       4.4311
      8.1950    1514.4635       4.4249
      8.2050    1514.6410       4.4262
      8.2150    1514.7620       4.4314
      8.2250    1514.4880       4.4185
      8.2350    1513.5660       4.4269
      8.2450    1511.8035       4.4143
      8.2550    1513.7410       4.4340
      8.2650    1510.8250       4.4140
      8.2750    1513.0625       4.4191
      8.2850    1509.7645       4.4208
      8.2950    1510.2310       4.4089
      8.3050    1509.4380       4.4102
      8.3150    1508.1000       4.4137
      8.3250    1508.1130       4.3929
      8.3350    1508.0685       4.4027
      8.3450    1505.6150       4.3949
      8.3550    1505.6570       4.3906
      8.3650    1505.4820       4.3928
      8.3750    1504.5355       4.3928
      8.3850    1502.1415       4.3958
      8.3950    1502.0545       4.3762
      8.4050    1501.9920       4.3763
      8.4150    1501.7175       4.3847
      8.4250    1500.5720       4.3720
      8.4350    1499.1125       4.3918
      8.4450    1498.9710       4.3663
      8.4550    1496.7585       4.3861
      8.4650    1497.5030       4.3595
      8.4750    1495.9290       4.3565
      8.4850    1495.3135       4.3687
      8.4950    1495.6195       4.3605
      8.5050    1493.6015       4.3639
      8.5150    1491.4735       4.3583
      8.5250    1491.7985       4.3565
      8.5350    1490.7890       4.3357
      8.5450    1490.4360       4.3525
      8.5550    1490.2905       4.3617
      8.5650    1486.4370       4.3509
      8.5750    1486.0710       4.3428
      8.5850    1485.6835       4.3435
      8.5950    1484.6815       4.3257
      8.6050    1483.4110       4.3416
      8.6150    1482.1455       4.3124
      8.6250    1481.4285       4.3273
      8.6350    1481.3930       4.3420
      8.6450    1479.3535       4.3206
      8.6550    1479.0880       4.3346
      8.6650    1477.4840       4.3162
      8.6750    1476.3940       4.3161
      8.6850    1476.3775       4.3130
      8.6950    1473.4735       4.3158
      8.7050    1474.5020       4.3040
      8.7150    1472.3750       4.3163
      8.7250    1472.0390       4.3011
      8.7350    1470.0570       4.2935
      8.7450    1469.5825       4.2942
      8.7550    1470.1965       4.3184
      8.7650    1468.2150       4.2969
      8.7750    1464.9115       4.2930
      8.7850    1465.5350       4.2916
      8.7950    1464.9790       4.2929
      8.8050    1464.2780       4.2993
      8.8150    1463.2685       4.2965
      8.8250    1461.8185       4.2889
      8.8350    1459.7235       4.2809
      8.8450    1459.3185       4.2775
      8.8550    1460.2750       4.2925
      8.8650    1458.7970       4.2772
      8.8750    1457.1080       4.2752
      8.8850    1454.0025       4.2810
      8.8950    1454.5715       4.2644
      8.9050    1452.6525       4.2573
      8.9150    1452.6725       4.2799
      8.9250    1450.9660       4.2631
      8.9350    1449.5725       4.2583
      8.9450    1450.0340       4.2507
      8.9550    1449.2845       4.2461
      8.9650    1446.7800       4.2368
      8.9750    1444.8360       4.2394
      8.9850    1444.7810       4.2481
      8.9950    1441.0315       4.2315
      9.0050    1440.7370       4.2325
      9.0150    1438.7130       4.2290
      9.0250    1439.3555       4.2278
      9.0350    1439.0780       4.2355
      9.0450    1435.8125       4.2269
      9.0550    1435.0280       4.2234
      9.0650    1431.6120       4.2172
      9.0750    1430.6245       4.2225
      9.0850    1430.1985       4.2006
      9.0950    1428.3705       4.2206
      9.1050    1426.9825       4.2149
      9.1150    1425.6020       4.2102
      9.1250    1423.5505       4.2014
      9.1350    1421.6820       4.1851
      9.1450    1420.6400       4.2015
      9.1550    1418.8170       4.2020
      9.1650    1414.0720       4.1812
      9.1750    1416.5030       4.1985
      9.1850    1414.9925       4.1907
      9.1950    1413.2725       4.1760
      9.2050    1410.7560       4.1680
      9.2150    1408.8830       4.1718
      9.2250    1408.0440       4.1743
      9.2350    1405.8685       4.1757
      9.2450    1405.4650       4.1757
      9.2550    1402.6885       4.1660
      9.2650    1402.0060       4.1734
      9.2750    1400.5065       4.1591
      9.2850    1400.0535       4.1700
      9.2950    1396.1055       4.1498
      9.3050    1394.6195       4.1431
      9.3150    1393.8415       4.1621
      9.3250    1393.7905       4.1406
      9.3350    1389.5595       4.1493
      9.3450    1390.8920       4.1569
      9.3550    1386.9820       4.1375
      9.3650    1387.6155       4.1478
      9.3750    1384.2210       4.1336
      9.3850    1383.4495       4.1470
      9.3950    1382.1760       4.1365
      9.4050    1380.4865       4.1406
      9.4150    1377.9595       4.1344
      9.4250    1376.9805       4.1314
